loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Start,Count
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.192,8
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.193,10
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.194,14
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.195,13
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.196,4
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.197,3
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.198,6
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.199,7
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.2,6
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.201,15
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.202,3
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.203,9
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.204,2
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.205,2
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.206,5
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.208,3
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.21,2
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.211,7
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.212,5
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.213,4
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.214,2
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.215,2
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.216,5
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.217,3
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.218,3
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.22,5
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.221,7
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.222,6
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.223,8
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.224,10
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.225,1
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.226,5
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.227,13
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.228,3
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.229,4
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.23,5
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.231,4
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.232,1
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.233,6
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.234,9
