loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Protocol,LostPackets,TxPackets,TxBytes,RxPackets,RxBytes,TimeFirstRxPacket,TimeLastTxPacket,TimeLastRxPacket,Throughput,Goodput
4,private,loc2,Full,4,7.0.0.5,7.0.0.2,TCP,548,76640,4157864,76092,4127168,1.190999999,659.643999999,659.661999999,6314.451119872188,6267.8052640131455
4,private,loc2,Full,5,7.0.0.6,7.0.0.3,TCP,719,81907,4454432,81188,4414356,1.388999999,734.495999999,734.507999999,6075.976440483303,6021.3362359998855
4,private,loc2,Full,6,7.0.0.7,7.0.0.4,TCP,1306,99793,5403260,98487,5331244,2.347999999,799.018999999,799.030999999,6782.170139804139,6691.800879396196
4,private,loc2,Full,7,7.0.0.8,7.0.0.9,TCP,3156,232301,136581764,229145,134726568,4.031999999,799.530999999,799.545999999,171044.7470808336,169357.88433641646
4,private,loc2,Full,8,7.0.0.9,7.0.0.10,TCP,3177,217427,127837656,214250,125970112,4.265999999,799.516999999,799.531999999,160144.05547140105,158399.97183332368
4,private,loc2,Full,9,7.0.0.9,7.0.0.8,TCP,4842,130906,7082972,126064,6819908,4.046999999,799.519999999,799.530999999,8903.933183152983,8573.281172217166
4,private,loc2,Full,10,7.0.0.10,7.0.0.9,TCP,757,121669,6568912,120912,6528068,4.287999999,799.501999999,799.516999999,8260.330266738427,8209.041672273019
4,private,loc1,Light,1,7.0.0.2,7.0.0.5,TCP,3242,145417,85496572,142175,83590276,1.072999999,659.647999999,659.665999999,129817.48105583484,126922.50904579916
4,private,loc1,Light,2,7.0.0.3,7.0.0.6,TCP,3807,148111,87077992,144304,84839476,2.012999999,734.549999999,734.566999999,118869.36594424894,115813.2724686508
4,private,loc1,Light,3,7.0.0.4,7.0.0.7,TCP,3126,178363,104862848,175237,103024760,2.332999999,799.493999999,799.508999999,131424.32571091593,129237.1571647917
4,private,loc1,Light,4,7.0.0.5,7.0.0.2,TCP,649,81477,4420508,80828,4383984,1.087999999,659.631999999,659.647999999,6712.394789229212,6656.924198250728
4,private,loc1,Light,5,7.0.0.6,7.0.0.3,TCP,922,84013,4578064,83091,4527320,2.027999999,734.534999999,734.549999999,6249.729018377606,6180.456013607783
4,private,loc1,Light,6,7.0.0.7,7.0.0.4,TCP,1255,100315,5431208,99060,5363140,2.347999999,799.479999999,799.493999999,6813.307959510605,6727.926879141336
4,private,loc1,Light,7,7.0.0.8,7.0.0.9,TCP,3143,199625,117158084,196482,115314788,4.643999999,799.213999999,799.228999999,146889.66822816784,145125.80529458774
4,private,loc1,Light,8,7.0.0.9,7.0.0.10,TCP,4153,190588,111830512,186435,109406996,1.637999999,799.200999999,799.214999999,140212.4811042979,137174.21139275582
4,private,loc1,Light,9,7.0.0.9,7.0.0.8,TCP,3996,112018,6062996,108022,5847620,4.658999999,799.202999999,799.213999999,7630.642910092265,7359.616389047958
4,private,loc1,Light,10,7.0.0.10,7.0.0.9,TCP,710,106625,5794128,105915,5754300,4.673999999,799.186999999,799.200999999,7264.917892192204,7242.422221019549
4,private,loc2,Light,1,7.0.0.2,7.0.0.5,TCP,3652,144121,84736000,140469,82588624,1.804999999,659.554999999,659.567999999,128823.93943760775,125559.85058448104
4,private,loc2,Light,2,7.0.0.3,7.0.0.6,TCP,2926,148244,87158528,145318,85438040,1.190999999,734.561999999,734.576999999,118843.86236864731,116498.05150357384
4,private,loc2,Light,3,7.0.0.4,7.0.0.7,TCP,3596,173569,102048052,169973,99933604,2.332999999,799.443999999,799.458999999,127838.62169377464,125367.38733901542
4,private,loc2,Light,4,7.0.0.5,7.0.0.2,TCP,500,80758,4390304,80258,4362848,1.819999999,659.545999999,659.554999999,6674.821852370462,6633.139486267266
4,private,loc2,Light,5,7.0.0.6,7.0.0.3,TCP,695,82815,4481260,82120,4443744,1.205999999,734.546999999,734.561999999,6110.620217193286,6059.463616579124
4,private,loc2,Light,6,7.0.0.7,7.0.0.4,TCP,1066,97554,5286556,96488,5227444,2.347999999,799.428999999,799.443999999,6632.270140610416,6558.110942722081
4,private,loc2,Light,7,7.0.0.8,7.0.0.9,TCP,3434,195863,114954124,192429,112942840,4.400999999,799.021999999,799.050999999,144114.56490271067,142129.03794123197
4,private,loc2,Light,8,7.0.0.9,7.0.0.10,TCP,3658,195743,114883444,192085,112738176,4.693999999,799.193999999,799.208999999,144051.708710574,141895.59165025206
4,private,loc2,Light,9,7.0.0.9,7.0.0.8,TCP,3158,110104,5970996,106946,5800172,4.415999999,799.028999999,799.044999999,7514.202872287409,7299.220139209618
